ticker,name,keyword,holdingQty,buyPrice,snapshotDate
004000,롯데정밀화학,롯데정밀화학,0,0,2024-12-31
087010,펩트론,펩트론,0,0,2024-12-31
192080,더블유게임즈,더블유게임즈,0,0,2024-12-31
001680,대상,대상,0,0,2024-12-31
003030,세아제강지주,세아제강지주,0,0,2024-12-31
361610,SK아이이테크놀로지,SK아이이테크놀로지,0,0,2024-12-31
089030,테크윙,테크윙,0,0,2024-12-31
005070,코스모신소재,코스모신소재,0,0,2024-12-31
011210,현대위아,현대위아,0,0,2024-12-31
280360,롯데웰푸드,롯데웰푸드,0,0,2024-12-31
241710,코스메카코리아,코스메카코리아,0,0,2024-12-31
039130,하나투어,하나투어,0,0,2024-12-31
047040,대우건설,대우건설,0,0,2024-12-31
298020,효성티앤씨,효성티앤씨,0,0,2024-12-31
008770,호텔신라,호텔신라,0,0,2024-12-31
248070,솔루엠,솔루엠,0,0,2024-12-31
004490,세방전지,세방전지,0,0,2024-12-31
000210,DL,DL,0,0,2024-12-31
041510,에스엠,에스엠,0,0,2024-12-31
000240,한국앤컴퍼니,한국앤컴퍼니,0,0,2024-12-31
086520,에코프로,에코프로,0,0,2024-12-31
214320,이노션,이노션,0,0,2024-12-31
214150,클래시스,클래시스,0,0,2024-12-31
000640,동아쏘시오홀딩스,동아쏘시오홀딩스,0,0,2024-12-31
089860,롯데렌탈,롯데렌탈,0,0,2024-12-31
014820,동원시스템즈,동원시스템즈,0,0,2024-12-31
003090,대웅,대웅,0,0,2024-12-31
195940,HK이노엔,HK이노엔,0,0,2024-12-31
020150,롯데에너지머티리얼즈,롯데에너지머티리얼즈,0,0,2024-12-31
009240,한샘,한샘,0,0,2024-12-31
018670,SK가스,SK가스,0,0,2024-12-31
108320,LX세미콘,LX세미콘,0,0,2024-12-31
105630,한세실업,한세실업,0,0,2024-12-31
007340,DN오토모티브,DN오토모티브,0,0,2024-12-31
328130,루닛,루닛,0,0,2024-12-31
237690,에스티팜,에스티팜,0,0,2024-12-31
353200,대덕전자,대덕전자,0,0,2024-12-31
005250,녹십자홀딩스,녹십자홀딩스,0,0,2024-12-31
137310,에스디바이오센서,에스디바이오센서,0,0,2024-12-31
336260,두산퓨얼셀,두산퓨얼셀,0,0,2024-12-31
009970,영원무역홀딩스,영원무역홀딩스,0,0,2024-12-31
039030,이오테크닉스,이오테크닉스,0,0,2024-12-31
100090,SK오션플랜트,SK오션플랜트,0,0,2024-12-31
001800,오리온홀딩스,오리온홀딩스,0,0,2024-12-31
077970,STX엔진,STX엔진,0,0,2024-12-31
365550,ESR켄달스퀘어리츠,ESR켄달스퀘어리츠,0,0,2024-12-31
395400,SK리츠,SK리츠,0,0,2024-12-31
298050,HS효성첨단소재,HS효성첨단소재,0,0,2024-12-31
114090,GKL,GKL,0,0,2024-12-31
001740,SK네트웍스,SK네트웍스,0,0,2024-12-31
229640,LS에코에너지,LS에코에너지,0,0,2024-12-31
145720,덴티움,덴티움,0,0,2024-12-31
001430,세아베스틸지주,세아베스틸지주,0,0,2024-12-31
003530,한화투자증권,한화투자증권,0,0,2024-12-31
023590,다우기술,다우기술,0,0,2024-12-31
004800,효성,효성,0,0,2024-12-31
056190,에스에프에이,에스에프에이,0,0,2024-12-31
120110,코오롱인더,코오롱인더,0,0,2024-12-31
090460,비에이치,비에이치,0,0,2024-12-31
285130,SK케미칼,SK케미칼,0,0,2024-12-31
064960,SNT모티브,SNT모티브,0,0,2024-12-31
095340,ISC,ISC,0,0,2024-12-31
078600,대주전자재료,대주전자재료,0,0,2024-12-31
003850,보령,보령,0,0,2024-12-31
140860,파크시스템스,파크시스템스,0,0,2024-12-31
026960,동서,동서,0,0,2024-12-31
000250,삼천당제약,삼천당제약,0,0,2024-12-31
181710,NHN,NHN,0,0,2024-12-31
006650,대한유화,대한유화,0,0,2024-12-31
014620,성광벤드,성광벤드,0,0,2024-12-31
058970,엠로,엠로,0,0,2024-12-31
281820,케이씨텍,케이씨텍,0,0,2024-12-31
002350,넥센타이어,넥센타이어,0,0,2024-12-31
067160,SOOP,SOOP,0,0,2024-12-31
170900,동아에스티,동아에스티,0,0,2024-12-31
122870,와이지엔터테인먼트,와이지엔터테인먼트,0,0,2024-12-31
499790,GS피앤엘,GS피앤엘,0,0,2024-12-31
071970,HD현대마린엔진,HD현대마린엔진,0,0,2024-12-31
178920,PI첨단소재,PI첨단소재,0,0,2024-12-31
403870,HPSP,HPSP,0,0,2024-12-31
089590,제주항공,제주항공,0,0,2024-12-31
357780,솔브레인,솔브레인,0,0,2024-12-31
018290,브이티,브이티,0,0,2024-12-31
064760,티씨케이,티씨케이,0,0,2024-12-31
010780,아이에스동서,아이에스동서,0,0,2024-12-31
034120,SBS,SBS,0,0,2024-12-31
